gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2237601594	7fd12114-9010-4c13-8f46-990fe04ca882	58-22311	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870			aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2009-05-21T00:00:00Z	21	5	2009	5137890	5137890	UNKNOWN	NTSRV	PA-NHP	58-22311				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:16.038Z		
2237601314	7fd12114-9010-4c13-8f46-990fe04ca882	51-15335-2198	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		aa40a1e0-818b-11d9-b6d0-b8a03c50a862									2017-05-18T00:00:00Z	18	5	2017	5137890	5137890	HUMAN_OBSERVATION	NTSRV	NY-NHP	51-15335-2198				CC_BY_NC_4_0	NatureServe				2019-05-02T14:56:13.785Z		
2237520178	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/23026488	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	35.745275	-83.533297	28649.0						2019-04-24T13:08:04Z	24	4	2019	5137890	5137890	HUMAN_OBSERVATION	iNaturalist	Observations	23026488			2019-04-25T00:14:37Z	CC_BY_NC_4_0	Tom Howe	Tom Howe			2019-05-01T15:10:03.735Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2237509249	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/22980046	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.115518	-81.080401	27847.0						2019-04-23T17:25:27Z	23	4	2019	5137890	5137890	HUMAN_OBSERVATION	iNaturalist	Observations	22980046			2019-04-24T03:08:47Z	CC_BY_NC_4_0	Tomás Curtis	Tomás Curtis			2019-05-07T19:50:20.216Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2237507291	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/22975010	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	35.238225	-83.976496	28706.0						2019-04-23T14:04:06Z	23	4	2019	5137890	5137890	HUMAN_OBSERVATION	iNaturalist	Observations	22975010			2019-04-24T01:11:55Z	CC_BY_NC_4_0	Pat Deacon	Pat Deacon			2019-05-01T15:09:55.441Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2237506990	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/22971748	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.04738	-81.120258	27847.0						2019-04-23T17:27:52Z	23	4	2019	5137890	5137890	HUMAN_OBSERVATION	iNaturalist	Observations	22971748			2019-04-24T00:06:43Z	CC_BY_NC_4_0	Rob Curtis	Rob Curtis			2019-05-01T15:09:55.063Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2237490565	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/22908295	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.325854	-81.79111	27816.0						2019-04-22T16:22:00Z	22	4	2019	5137890	5137890	HUMAN_OBSERVATION	iNaturalist	Observations	22908295			2019-04-22T21:36:58Z	CC_BY_NC_4_0	mark3939	mark3939			2019-05-01T15:09:45.205Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2237461332	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/22794641	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.523476	-80.954599	27785.0						2019-04-20T15:50:08Z	20	4	2019	5137890	5137890	HUMAN_OBSERVATION	iNaturalist	Observations	22794641			2019-04-21T02:36:47Z	CC_BY_NC_4_0	Tomás Curtis	Tomás Curtis			2019-05-07T19:50:06.633Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2237436892	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/22699466	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US		28eb1a3f-1c15-4a95-931a-4af90ecb574d	40.680509	-79.700942	27908.0						2019-04-18T09:16:47Z	18	4	2019	5137890	5137890	HUMAN_OBSERVATION	iNaturalist	Observations	22699466			2019-04-19T11:06:41Z	CC_BY_NC_4_0	Mason Heberling	Mason Heberling			2019-05-01T15:09:09.765Z	STILLIMAGE	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
2236985872	96404cc2-f762-11e1-a439-00145eb45e9a	urn:uuid:f589aef7-3f0b-44b9-a671-70639124374b	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris virginiensis		SPECIES	Pieris virginiensis Edwards, 1870	US	Hatfield, Linseed Rd. off Rt. 2	2e167bb0-4441-11db-9ba2-b8a03c50a862									1978-05-07T00:00:00Z	7	5	1978	5137890	5137890	PRESERVED_SPECIMEN	YPM	ENT	YPM ENT 969470				CC0_1_0	Yale Peabody Museum of Natural History	D Bowers			2019-04-26T10:48:54.518Z		
